1.HTML stands for,A.Hyper Text Markup Language,B.Holistick Technical Method Library,C.Hyper Tax Makes Line,D.None of the above,A.Hyper Text Markup Language
2.Who is developer of HTML?,A.Charles Dawin,B.Robert Cailliau,C.Tim Thompson,D.Tim Berners-Lee,D.Tim Berners-Lee
3.HTML was first proposed in the year__,A.2000,B.1995,C.1985,D.1990,D.1990
4.To create HTML pages you need what?,A.Text Editor,B.Web browser,C.Balsamiq Wireframe,D.Both a and b,D.Both a and b
5.Which is the correct HTML tag to line break?,A.<bd>,B.<bl>,C.<br>,D.<b>,C.<br>
6.URL is?,A.Uniform resource locator,B.Uniform read locator,C.Uniform reaserch locator,D.United research locator,A.Uniform resource locator
7.Sets of tags using in table?,A.<bl><br><bd>,B.<tr><th><td>,C.<th><tr><br>,D.<bl><bd><th>,B.<tr><th><td>
8.What is the tag that the link strat?,A.<i>,B.<body>,C.<li>,D.<a>,A.<i>
9.What is the tag that used to define emphasized test?,A.<it>,B.<i>,C.<italic>,D.<em>,D.<em>
10.abcd,A.Underlined,B.Comment,C.Underline with italic,D.None of the above,A.Underlined
