1.Inventor of Java Programming is..?,A.Guido Van Rossum,B.Dennis Ritchie,C.James Gosling,D.Bjarne Stroustrup,C
2.Is Java case sensitive?,A.Depends on compiler,B.True,C.False,D.May be True or Flase,B
3.Which year Java released?,A.1196,B.1993,C.1995,D.1991,C
4.Which is the advantage of java?,A.Portable,B.simple,C.Secure,D.All of above,D
5.What is used to compile debug execute the Java Programs?,A.JDK,B.JRE,C.JIT,D.JVM,A
6.There are ... Datatype in java,A.One,B.Two,C.Three,D.Four,B
7.There are ... Primitive Datatype in Java,A.8,B.4,C.2,D.6,A
8.Best suitable loop for attays is jaba is?,A.for loop,B.do while loop,C.for-each loop,D.while loop,C
9.Arrays in java are...,A.Object references,B.Objects,C.Primitive data type,D.None,B
10.Which is not a Java features?,A.Dynamic,B.Objet-Oriented,C.Architecture Neutral,D.Use of pointers,D
